epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,885.42,0.66623,3.47075,0.21295,0.46036,1.15433,0.9932,1,0.995,0.8902,0.9236,0.93,0.90233,0.31912,0.54593,2.86284,0.07121,0.27232,1.04176,0.0002774,0.0002774,0.0002774
89,895.238,0.67345,3.57243,0.21764,0.46813,1.17396,0.99602,1,0.995,0.88022,0.90968,0.91333,0.90857,0.31895,0.57509,2.89753,0.06337,0.28409,1.05867,0.0002576,0.0002576,0.0002576
90,904.592,0.67794,3.50719,0.21967,0.47398,1.16735,0.9962,1,0.995,0.86715,0.90986,0.91333,0.89684,0.32666,0.61794,2.88073,0.06774,0.28227,1.09253,0.0002378,0.0002378,0.0002378
91,925.791,0.41251,2.59972,0.12569,0.28992,1.03192,0.99617,1,0.995,0.86474,0.90982,0.91333,0.91456,0.31905,0.6061,2.92757,0.06171,0.29422,1.08116,0.000218,0.000218,0.000218
92,934.962,0.41008,2.56922,0.12198,0.26173,1.017,0.99599,1,0.99497,0.88818,0.92627,0.93,0.89302,0.31281,0.52366,2.87536,0.0567,0.26939,1.02536,0.0001982,0.0001982,0.0001982
93,944.136,0.39572,2.48856,0.10966,0.24977,1.00163,0.99606,1,0.99497,0.87752,0.93748,0.94,0.91721,0.32311,0.51799,2.82583,0.05603,0.26767,1.01101,0.0001784,0.0001784,0.0001784
94,953.261,0.40516,2.49428,0.11575,0.25148,1.02363,0.99594,1,0.99497,0.89345,0.92663,0.93,0.8973,0.32124,0.53587,2.80753,0.0491,0.27413,1.03289,0.0001586,0.0001586,0.0001586
95,962.489,0.39153,2.52531,0.11298,0.24614,1.00817,0.99593,1,0.99497,0.91366,0.9395,0.94333,0.91987,0.33026,0.46225,2.80723,0.05602,0.25429,0.97727,0.0001388,0.0001388,0.0001388
96,971.693,0.37329,2.45569,0.11296,0.2415,0.9988,0.99594,1,0.99497,0.91297,0.93284,0.93667,0.91531,0.32663,0.45627,2.79797,0.0486,0.24563,0.97583,0.000119,0.000119,0.000119
97,980.888,0.3831,2.44123,0.10967,0.23964,1.00197,0.99545,1,0.99497,0.91649,0.94799,0.94,0.92122,0.32259,0.463,2.77114,0.04854,0.25115,0.97418,9.92e-05,9.92e-05,9.92e-05
98,990.023,0.3718,2.40924,0.11137,0.23625,0.99514,0.99259,1,0.99497,0.90705,0.93106,0.92333,0.89712,0.3301,0.47412,2.77738,0.04691,0.2469,0.98476,7.94e-05,7.94e-05,7.94e-05
99,999.218,0.36267,2.41247,0.11665,0.2299,0.99758,0.99499,1,0.99497,0.90898,0.94769,0.94,0.92908,0.33535,0.4713,2.77811,0.04823,0.24972,0.97556,5.96e-05,5.96e-05,5.96e-05
100,1008.43,0.3593,2.42319,0.10799,0.23319,0.99598,0.99507,1,0.99497,0.91284,0.942,0.94667,0.93014,0.34005,0.47042,2.75812,0.0493,0.24402,0.97085,3.98e-05,3.98e-05,3.98e-05
